timestamp,person_id,x_gt,y_gt
0.05,personFlow1.0,266.84,167.201
0.1,personFlow1.0,266.84,167.255
0.15,personFlow1.0,266.84,167.311
0.2,personFlow1.0,266.84,167.375
0.25,personFlow1.0,266.84,167.434
0.3,personFlow1.0,266.84,167.491
0.35,personFlow1.0,266.84,167.556
0.4,personFlow1.0,266.84,167.611
0.45,personFlow1.0,266.84,167.673
0.5,personFlow1.0,266.84,167.731
0.55,personFlow1.0,266.84,167.787
0.6,personFlow1.0,266.84,167.852
0.65,personFlow1.0,266.84,167.908
0.7,personFlow1.0,266.84,167.967
0.75,personFlow1.0,266.84,168.026
0.8,personFlow1.0,266.84,168.084
0.85,personFlow1.0,266.84,168.146
0.9,personFlow1.0,266.84,168.21
0.95,personFlow1.0,266.84,168.264
1,personFlow1.0,266.84,168.325
1.05,personFlow1.0,266.84,168.381
1.1,personFlow1.0,266.84,168.445
1.15,personFlow1.0,266.84,168.504
1.2,personFlow1.0,266.84,168.565
1.25,personFlow1.0,266.84,168.622
1.3,personFlow1.0,266.84,168.675
1.35,personFlow1.0,266.84,168.729
1.4,personFlow1.0,266.84,168.783
1.45,personFlow1.0,266.84,168.843
1.5,personFlow1.0,266.84,168.901
1.55,personFlow1.0,266.84,168.963
1.6,personFlow1.0,266.84,169.027
1.65,personFlow1.0,266.84,169.089
1.7,personFlow1.0,266.84,169.144
1.75,personFlow1.0,266.84,169.207
1.8,personFlow1.0,266.84,169.259
1.85,personFlow1.0,266.84,169.324
1.9,personFlow1.0,266.84,169.38
1.95,personFlow1.0,266.84,169.441
2,personFlow1.0,266.84,169.505
2.05,personFlow1.0,266.84,169.568
2.05,personFlow1.1,266.84,167.201
2.1,personFlow1.0,266.84,169.628
2.1,personFlow1.1,266.84,167.258
2.15,personFlow1.0,266.84,169.69
2.15,personFlow1.1,266.84,167.325
2.2,personFlow1.0,266.84,169.752
2.2,personFlow1.1,266.84,167.387
2.25,personFlow1.0,266.84,169.814
2.25,personFlow1.1,266.84,167.446
2.3,personFlow1.0,266.84,169.878
2.3,personFlow1.1,266.84,167.507
2.35,personFlow1.0,266.84,169.934
2.35,personFlow1.1,266.84,167.568
2.4,personFlow1.0,266.84,169.99
2.4,personFlow1.1,266.84,167.625
2.45,personFlow1.0,266.84,170.043
2.45,personFlow1.1,266.84,167.691
